Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-04-28 03:45:00+00:00,24117.94921875,24151.650390625,24059.150390625,24071.69921875,0
2025-04-28 04:00:00+00:00,24176.599609375,24227.400390625,24108.650390625,24117.05078125,0
2025-04-28 04:15:00+00:00,24229.30078125,24231.25,24174.30078125,24175.75,0
2025-04-28 04:30:00+00:00,24275.849609375,24279.05078125,24217.80078125,24228.599609375,0
2025-04-28 04:45:00+00:00,24236.849609375,24282.75,24229.349609375,24276.0,0
2025-04-28 05:00:00+00:00,24245.349609375,24263.150390625,24237.69921875,24238.05078125,0
2025-04-28 05:15:00+00:00,24276.900390625,24282.900390625,24242.80078125,24245.44921875,0
2025-04-28 05:30:00+00:00,24235.0,24282.19921875,24227.75,24276.75,0
2025-04-28 05:45:00+00:00,24252.900390625,24253.69921875,24210.75,24236.19921875,0
2025-04-28 06:00:00+00:00,24276.55078125,24280.44921875,24248.650390625,24253.94921875,0
2025-04-28 06:15:00+00:00,24271.5,24288.69921875,24261.30078125,24276.55078125,0
2025-04-28 06:30:00+00:00,24289.650390625,24296.5,24271.599609375,24271.599609375,0
2025-04-28 06:45:00+00:00,24344.849609375,24346.349609375,24286.94921875,24292.30078125,0
2025-04-28 07:00:00+00:00,24336.44921875,24350.69921875,24326.599609375,24347.44921875,0
2025-04-28 07:15:00+00:00,24348.75,24354.75,24332.150390625,24339.5,0
2025-04-28 07:30:00+00:00,24339.0,24352.5,24313.5,24350.69921875,0
2025-04-28 07:45:00+00:00,24331.900390625,24351.55078125,24319.900390625,24341.849609375,0
2025-04-28 08:00:00+00:00,24341.94921875,24347.099609375,24323.19921875,24335.099609375,0
2025-04-28 08:15:00+00:00,24332.0,24351.599609375,24325.900390625,24344.599609375,0
2025-04-28 08:30:00+00:00,24350.599609375,24352.30078125,24328.30078125,24335.849609375,0
2025-04-28 08:45:00+00:00,24305.05078125,24353.69921875,24293.55078125,24352.599609375,0
2025-04-28 09:00:00+00:00,24273.650390625,24321.650390625,24265.44921875,24308.0,0
2025-04-28 09:15:00+00:00,24318.44921875,24325.599609375,24260.900390625,24276.44921875,0
2025-04-28 09:30:00+00:00,24324.099609375,24341.30078125,24311.849609375,24322.19921875,0
2025-04-28 09:45:00+00:00,24312.900390625,24337.75,24309.55078125,24325.599609375,0
2025-04-29 03:45:00+00:00,24417.099609375,24456.849609375,24370.69921875,24370.69921875,0
2025-04-29 04:00:00+00:00,24316.599609375,24452.900390625,24304.599609375,24418.25,0
2025-04-29 04:15:00+00:00,24390.25,24395.0,24291.0,24317.849609375,0
2025-04-29 04:30:00+00:00,24351.55078125,24396.150390625,24333.80078125,24390.0,0
2025-04-29 04:45:00+00:00,24317.80078125,24354.099609375,24311.30078125,24351.30078125,0
2025-04-29 05:00:00+00:00,24321.5,24335.25,24305.5,24318.849609375,0
2025-04-29 05:15:00+00:00,24333.80078125,24353.69921875,24317.94921875,24321.849609375,0
2025-04-29 05:30:00+00:00,24356.05078125,24369.849609375,24332.80078125,24334.69921875,0
2025-04-29 05:45:00+00:00,24349.25,24360.349609375,24338.94921875,24356.55078125,0
2025-04-29 06:00:00+00:00,24354.400390625,24356.80078125,24334.94921875,24348.650390625,0
2025-04-29 06:15:00+00:00,24312.69921875,24355.80078125,24311.94921875,24354.650390625,0
2025-04-29 06:30:00+00:00,24316.599609375,24323.75,24302.44921875,24313.25,0
2025-04-29 06:45:00+00:00,24309.75,24321.599609375,24304.099609375,24316.400390625,0
2025-04-29 07:00:00+00:00,24341.849609375,24347.94921875,24309.150390625,24309.25,0
2025-04-29 07:15:00+00:00,24358.94921875,24363.55078125,24330.599609375,24338.80078125,0
2025-04-29 07:30:00+00:00,24356.849609375,24369.5,24350.599609375,24358.25,0
2025-04-29 07:45:00+00:00,24366.05078125,24376.05078125,24341.349609375,24355.44921875,0
2025-04-29 08:00:00+00:00,24353.900390625,24372.69921875,24351.0,24366.650390625,0
2025-04-29 08:15:00+00:00,24358.25,24368.75,24347.650390625,24352.69921875,0
2025-04-29 08:30:00+00:00,24365.94921875,24375.5,24356.849609375,24360.150390625,0
2025-04-29 08:45:00+00:00,24346.0,24368.30078125,24342.400390625,24366.900390625,0
2025-04-29 09:00:00+00:00,24356.44921875,24361.94921875,24339.0,24346.44921875,0
2025-04-29 09:15:00+00:00,24340.19921875,24358.0,24339.44921875,24356.19921875,0
2025-04-29 09:30:00+00:00,24326.44921875,24347.80078125,24324.44921875,24340.55078125,0
2025-04-29 09:45:00+00:00,24325.44921875,24348.5,24310.599609375,24326.19921875,0
2025-04-30 03:45:00+00:00,24322.25,24342.05078125,24270.349609375,24342.05078125,0
2025-04-30 04:00:00+00:00,24346.80078125,24364.900390625,24314.849609375,24324.05078125,0
2025-04-30 04:15:00+00:00,24364.099609375,24395.150390625,24346.30078125,24348.5,0
2025-04-30 04:30:00+00:00,24353.349609375,24371.94921875,24348.25,24366.099609375,0
2025-04-30 04:45:00+00:00,24332.0,24362.94921875,24330.55078125,24353.75,0
2025-04-30 05:00:00+00:00,24321.55078125,24334.099609375,24290.400390625,24330.849609375,0
