Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Datetime,,,,,
2025-04-28 04:00:00+00:00,24229.30078125,24231.25,24108.650390625,24117.05078125,0
2025-04-28 04:30:00+00:00,24236.849609375,24282.75,24217.80078125,24228.599609375,0
2025-04-28 05:00:00+00:00,24276.900390625,24282.900390625,24237.69921875,24238.05078125,0
2025-04-28 05:30:00+00:00,24252.900390625,24282.19921875,24210.75,24276.75,0
2025-04-28 06:00:00+00:00,24271.5,24288.69921875,24248.650390625,24253.94921875,0
2025-04-28 06:30:00+00:00,24344.849609375,24346.349609375,24271.599609375,24271.599609375,0
2025-04-28 07:00:00+00:00,24348.75,24354.75,24326.599609375,24347.44921875,0
2025-04-28 07:30:00+00:00,24331.900390625,24352.5,24313.5,24350.69921875,0
2025-04-28 08:00:00+00:00,24332.0,24351.599609375,24323.19921875,24335.099609375,0
2025-04-28 08:30:00+00:00,24305.05078125,24353.69921875,24293.55078125,24335.849609375,0
2025-04-28 09:00:00+00:00,24318.44921875,24325.599609375,24260.900390625,24308.0,0
2025-04-28 09:30:00+00:00,24312.900390625,24341.30078125,24309.55078125,24322.19921875,0
2025-04-29 04:00:00+00:00,24390.25,24452.900390625,24291.0,24418.25,0
2025-04-29 04:30:00+00:00,24317.80078125,24396.150390625,24311.30078125,24390.0,0
2025-04-29 05:00:00+00:00,24333.80078125,24353.69921875,24305.5,24318.849609375,0
2025-04-29 05:30:00+00:00,24349.25,24369.849609375,24332.80078125,24334.69921875,0
2025-04-29 06:00:00+00:00,24312.69921875,24356.80078125,24311.94921875,24348.650390625,0
2025-04-29 06:30:00+00:00,24309.75,24323.75,24302.44921875,24313.25,0
2025-04-29 07:00:00+00:00,24358.94921875,24363.55078125,24309.150390625,24309.25,0
2025-04-29 07:30:00+00:00,24366.05078125,24376.05078125,24341.349609375,24358.25,0
2025-04-29 08:00:00+00:00,24358.25,24372.69921875,24347.650390625,24366.650390625,0
2025-04-29 08:30:00+00:00,24346.0,24375.5,24342.400390625,24360.150390625,0
2025-04-29 09:00:00+00:00,24340.19921875,24361.94921875,24339.0,24346.44921875,0
2025-04-29 09:30:00+00:00,24325.44921875,24348.5,24310.599609375,24340.55078125,0
2025-04-30 04:00:00+00:00,24364.099609375,24395.150390625,24314.849609375,24324.05078125,0
2025-04-30 04:30:00+00:00,24332.0,24371.94921875,24330.55078125,24366.099609375,0
2025-04-30 05:00:00+00:00,24341.400390625,24344.80078125,24290.400390625,24330.849609375,0
2025-04-30 05:30:00+00:00,24330.44921875,24371.599609375,24326.150390625,24341.25,0
2025-04-30 06:00:00+00:00,24341.349609375,24345.849609375,24313.55078125,24330.849609375,0
2025-04-30 06:30:00+00:00,24349.75,24365.0,24336.80078125,24341.400390625,0
2025-04-30 07:00:00+00:00,24341.849609375,24363.75,24339.69921875,24349.69921875,0
2025-04-30 07:30:00+00:00,24332.5,24343.099609375,24326.69921875,24340.19921875,0
2025-04-30 08:00:00+00:00,24347.099609375,24353.25,24332.5,24332.69921875,0
2025-04-30 08:30:00+00:00,24336.150390625,24351.55078125,24331.400390625,24347.099609375,0
2025-04-30 09:00:00+00:00,24368.55078125,24388.80078125,24324.150390625,24336.80078125,0
2025-04-30 09:30:00+00:00,24243.44921875,24395.80078125,24230.099609375,24367.30078125,0
2025-05-02 04:00:00+00:00,24572.0,24575.80078125,24485.349609375,24487.099609375,0
2025-05-02 04:30:00+00:00,24520.69921875,24588.650390625,24520.69921875,24571.19921875,0
2025-05-02 05:00:00+00:00,24432.0,24531.150390625,24410.44921875,24521.349609375,0
2025-05-02 05:30:00+00:00,24387.30078125,24445.30078125,24371.19921875,24431.69921875,0
2025-05-02 06:00:00+00:00,24354.69921875,24387.94921875,24319.75,24387.25,0
2025-05-02 06:30:00+00:00,24242.75,24355.80078125,24239.30078125,24354.599609375,0
2025-05-02 07:00:00+00:00,24282.94921875,24310.849609375,24241.0,24241.849609375,0
2025-05-02 07:30:00+00:00,24364.80078125,24368.849609375,24266.19921875,24282.849609375,0
2025-05-02 08:00:00+00:00,24378.80078125,24412.19921875,24363.099609375,24364.75,0
2025-05-02 08:30:00+00:00,24306.25,24400.650390625,24304.599609375,24378.5,0
2025-05-02 09:00:00+00:00,24373.94921875,24381.80078125,24286.900390625,24306.75,0
2025-05-02 09:30:00+00:00,24313.650390625,24397.75,24309.849609375,24373.400390625,0
2025-05-05 04:00:00+00:00,24503.650390625,24505.44921875,24403.099609375,24442.25,0
2025-05-05 04:30:00+00:00,24479.55078125,24510.599609375,24464.0,24504.19921875,0
2025-05-05 05:00:00+00:00,24471.099609375,24526.19921875,24460.44921875,24480.19921875,0
2025-05-05 05:30:00+00:00,24465.349609375,24495.900390625,24459.650390625,24472.0,0
2025-05-05 06:00:00+00:00,24445.400390625,24481.599609375,24414.44921875,24465.5,0
2025-05-05 06:30:00+00:00,24457.349609375,24459.75,24430.0,24444.900390625,0
2025-05-05 07:00:00+00:00,24474.30078125,24475.94921875,24441.69921875,24457.400390625,0
2025-05-05 07:30:00+00:00,24454.69921875,24477.0,24434.05078125,24475.150390625,0
